[Wed Jan 11 16:10:26.044184 2017] [:error] [pid 4903] [client 127.0.0.1:41596] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:29.527727 2017] [:error] [pid 6593] [client 127.0.0.1:41598] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:29.533448 2017] [:error] [pid 6593] [client 127.0.0.1:41598] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:30.773677 2017] [:error] [pid 2934] [client 127.0.0.1:41600] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:30.777695 2017] [:error] [pid 2934] [client 127.0.0.1:41600] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:43.257483 2017] [:error] [pid 2936] [client 127.0.0.1:41604] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:43.261550 2017] [:error] [pid 2936] [client 127.0.0.1:41604] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:44.647753 2017] [:error] [pid 2935] [client 127.0.0.1:41606] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:44.652201 2017] [:error] [pid 2935] [client 127.0.0.1:41606] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 18:04:13.006776 2017] [:error] [pid 4903] [client 127.0.0.1:43168] PHP Fatal error:  Class 'AppBundle\\Controller\\GetResponseUserEvent' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrationController.php on line 35
[Thu Jan 12 14:41:34.438656 2017] [:error] [pid 5125] [client 127.0.0.1:55066] PHP Parse error:  syntax error, unexpected ')' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 40, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Thu Jan 12 14:41:35.448973 2017] [:error] [pid 2528] [client 127.0.0.1:55070] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 72 bytes) in /var/www/Aplikacija_Pweb/vendor/symfony/symfony/src/Symfony/Component/HttpKernel/DataCollector/DataCollector.php on line 54, referer: http://dev.aplikacijapweb/app_dev.php/admin/registruj
[Thu Jan 12 19:23:18.073096 2017] [:error] [pid 5125] [client 127.0.0.1:34050] PHP Fatal error:  Call to undefined method AppBundle\\Form\\KategorijaType::getDoctrine() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/KategorijaType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/kategorija/
[Thu Jan 12 19:24:05.072549 2017] [:error] [pid 2528] [client 127.0.0.1:34064] PHP Fatal error:  Call to undefined method AppBundle\\Form\\KategorijaType::getDoctrine() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/KategorijaType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/kategorija/
[Thu Jan 12 19:24:06.206143 2017] [:error] [pid 2531] [client 127.0.0.1:34066] PHP Fatal error:  Call to undefined method AppBundle\\Form\\KategorijaType::getDoctrine() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/KategorijaType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/kategorija/
